Round, Max Amount, Rolls Played
311, 1013, 8323,
312, 1180, 3657,
313, 529, 1526,
314, 819, 2221,
315, 614, 1226,
316, 1451, 12922,
317, 1471, 14203,
318, 592, 1005,
319, 500, 616,
320, 896, 2811,
321, 691, 2275,
322, 722, 2465,
323, 800, 2238,
324, 737, 2261,
325, 1396, 6136,
326, 881, 5820,
327, 2706, 25280,
328, 1088, 3594,
329, 1868, 26774,
330, 1010, 12623,
331, 630, 2055,
332, 512, 1546,
333, 2200, 17786,
334, 938, 4309,
335, 1896, 8387,
336, 2095, 17686,
337, 757, 1741,
338, 523, 876,
339, 1596, 17750,
340, 627, 1412,
341, 889, 4942,
342, 4395, 306315,
343, 619, 1428,
344, 556, 1703,
345, 1121, 4484,
346, 2746, 51919,
347, 985, 8563,
348, 988, 8875,
349, 1065, 3843,
350, 1559, 13138,
351, 734, 2548,
352, 746, 2339,
353, 1165, 1879,
354, 1967, 19790,
355, 1599, 10895,
356, 558, 985,
357, 529, 1121,
358, 9981, 309389,
359, 500, 389,
360, 528, 1134,
361, 558, 1120,
362, 1077, 3254,
363, 1982, 31843,
364, 500, 782,
365, 528, 349,
366, 1075, 5440,
367, 544, 1449,
368, 500, 2861,
369, 533, 910,
370, 2760, 34085,
371, 655, 719,
372, 2933, 64904,
373, 625, 2084,
374, 673, 1207,
375, 3329, 66008,
376, 1618, 5531,
377, 1084, 4314,
378, 767, 2781,
379, 566, 773,
380, 849, 3615,
381, 550, 1236,
382, 562, 1784,
383, 528, 562,
384, 1718, 17828,
385, 2000, 18198,
386, 534, 382,
387, 768, 2019,
388, 833, 1869,
389, 819, 1856,
390, 879, 6235,
391, 1079, 7680,
392, 500, 1157,
393, 788, 2496,
394, 770, 1925,
395, 505, 1207,
396, 1427, 11845,
397, 1637, 11106,
398, 1118, 13175,
399, 2160, 39839,
400, 830, 2735,
401, 590, 1018,
402, 7667, 411566,
403, 2150, 28234,
404, 771, 808,
405, 543, 2111,
406, 1420, 12808,
407, 2715, 42973,
408, 552, 721,
409, 674, 1145,
410, 914, 4807,
411, 1101, 7415,
412, 533, 580,
413, 846, 10782,
414, 587, 636,
415, 5830, 227685,
416, 1219, 3849,
417, 1053, 3235,
418, 2051, 25630,
419, 514, 353,
420, 500, 1981,
421, 1021, 6009,
422, 1928, 22287,
423, 2526, 44051,
424, 701, 1485,
425, 573, 1078,
426, 2615, 21463,
427, 1428, 9173,
428, 4751, 64804,
429, 884, 2085,
430, 500, 1371,
431, 1592, 10774,
432, 743, 2684,
433, 629, 1412,
434, 644, 3732,
435, 2846, 26971,
436, 545, 1006,
437, 676, 2085,
438, 7913, 284693,
439, 919, 4938,
440, 742, 3097,
441, 3364, 35755,
442, 720, 2153,
443, 733, 8436,
444, 613, 2069,
445, 882, 3620,
446, 790, 2867,
447, 500, 515,
448, 619, 1822,
449, 701, 2804,
450, 577, 626,
451, 1761, 11437,
452, 592, 543,
453, 619, 1393,
454, 2036, 16883,
455, 500, 632,
456, 1078, 4971,
457, 778, 2502,
458, 811, 4019,
459, 1966, 11958,
460, 800, 4579,
461, 4581, 88863,
462, 1214, 15474,
463, 1734, 44693,
464, 1130, 5747,
465, 2205, 46027,
466, 1339, 11420,
467, 2193, 16761,
468, 1163, 3569,
469, 6805, 265655,
470, 578, 1164,
471, 953, 6243,
472, 535, 2441,
473, 1025, 6979,
474, 1790, 11279,
475, 624, 1527,
476, 1694, 11634,
477, 1064, 17794,
478, 654, 644,
479, 510, 491,
480, 3137, 63689,
481, 649, 1440,
482, 1224, 16833,
483, 802, 3091,
484, 1042, 2760,
485, 1270, 8110,
486, 1744, 15075,
487, 1381, 17031,
488, 1512, 14736,
489, 1619, 14846,
490, 997, 5372,
491, 625, 503,
492, 723, 1224,
493, 2159, 35657,
494, 668, 1493,
495, 612, 2981,
496, 592, 933,
497, 749, 2969,
498, 1743, 15352,
499, 997, 12341,
500, 709, 2564,
501, 653, 833,
502, 1730, 25009,
503, 640, 1664,
504, 1986, 14036,
505, 1263, 3952,
506, 638, 3151,
507, 542, 1377,
508, 1096, 5342,
509, 834, 1051,
510, 1279, 8076,
511, 1637, 12805,
512, 545, 304,
513, 510, 720,
514, 530, 792,
515, 692, 2488,
516, 535, 720,
517, 555, 1497,
518, 729, 616,
519, 573, 912,
520, 603, 1283,
521, 2109, 12976,
522, 911, 7439,
523, 651, 1729,
524, 1096, 11201,
525, 980, 3951,
526, 1553, 7223,
527, 1940, 36210,
528, 1264, 17494,
529, 681, 1648,
530, 3265, 92163,
531, 1471, 7186,
532, 908, 7973,
533, 1421, 15270,
534, 1778, 19911,
535, 1511, 13400,
536, 9833, 273241,
537, 2228, 43797,
538, 695, 1947,
539, 1976, 14924,
540, 622, 679,
541, 1338, 7728,
542, 728, 3554,
543, 523, 661,
544, 616, 2797,
545, 3199, 68933,
546, 1015, 5684,
547, 1266, 6200,
548, 5485, 157394,
549, 827, 5220,
550, 678, 2817,
551, 1987, 24808,
552, 781, 5920,
553, 1704, 13157,
